X;Explicit;Implicit;CrankNicolson
0,309942;20,009511;20,009877;20,009835
0,311891;20,008923;20,009276;20,009236
0,313840;20,008380;20,008709;20,008670
0,315789;20,007857;20,008174;20,008137
0,317739;20,007375;20,007669;20,007634
0,319688;20,006911;20,007194;20,007160
0,321637;20,006483;20,006746;20,006714
0,323587;20,006072;20,006325;20,006294
0,325536;20,005693;20,005927;20,005898
0,327485;20,005328;20,005554;20,005525
0,329435;20,004992;20,005202;20,005175
0,331384;20,004670;20,004871;20,004845
0,333333;20,004373;20,004560;20,004535
0,335283;20,004088;20,004267;20,004243
0,337232;20,003826;20,003992;20,003970
0,339181;20,003574;20,003734;20,003712
0,341131;20,003344;20,003491;20,003471
0,343080;20,003122;20,003263;20,003244
0,345029;20,002918;20,003049;20,003031
0,346979;20,002723;20,002849;20,002831
0,348928;20,002544;20,002660;20,002644
0,350877;20,002372;20,002484;20,002468
0,352827;20,002215;20,002318;20,002303
0,354776;20,002064;20,002163;20,002149
0,356725;20,001927;20,002018;20,002004
0,358674;20,001794;20,001882;20,001869
0,360624;20,001674;20,001754;20,001742
0,362573;20,001558;20,001635;20,001623
0,364522;20,001452;20,001523;20,001512
0,366472;20,001351;20,001419;20,001408
0,368421;20,001258;20,001321;20,001311
0,370370;20,001170;20,001230;20,001220
0,372320;20,001089;20,001144;20,001135
0,374269;20,001012;20,001065;20,001056
0,376218;20,000941;20,000990;20,000982
0,378168;20,000874;20,000921;20,000913
0,380117;20,000813;20,000856;20,000848
0,382066;20,000754;20,000795;20,000788
0,384016;20,000701;20,000739;20,000732
0,385965;20,000650;20,000686;20,000680
0,387914;20,000604;20,000637;20,000631
0,389864;20,000560;20,000591;20,000585
0,391813;20,000519;20,000548;20,000543
0,393762;20,000481;20,000509;20,000504
0,395712;20,000446;20,000472;20,000467
0,397661;20,000413;20,000437;20,000433
0,399610;20,000383;20,000405;20,000401
0,401559;20,000354;20,000375;20,000371
0,403509;20,000328;20,000348;20,000344
0,405458;20,000304;20,000322;20,000318
0,407407;20,000281;20,000298;20,000295
0,409357;20,000260;20,000276;20,000273
0,411306;20,000240;20,000255;20,000252
0,413255;20,000222;20,000236;20,000233
0,415205;20,000205;20,000218;20,000215
0,417154;20,000189;20,000202;20,000199
0,419103;20,000175;20,000186;20,000184
0,421053;20,000162;20,000172;20,000170
0,423002;20,000149;20,000159;20,000157
0,424951;20,000138;20,000147;20,000145
0,426901;20,000127;20,000135;20,000134
0,428850;20,000117;20,000125;20,000123
0,430799;20,000108;20,000115;20,000114
0,432749;20,000099;20,000106;20,000105
0,434698;20,000092;20,000098;20,000097
0,436647;20,000084;20,000090;20,000089
0,438596;20,000078;20,000083;20,000082
0,440546;20,000072;20,000077;20,000076
0,442495;20,000066;20,000071;20,000070
0,444444;20,000061;20,000065;20,000064
0,446394;20,000056;20,000060;20,000059
0,448343;20,000051;20,000055;20,000054
0,450292;20,000047;20,000051;20,000050
0,452242;20,000044;20,000047;20,000046
0,454191;20,000040;20,000043;20,000042
0,456140;20,000037;20,000040;20,000039
0,458090;20,000034;20,000037;20,000036
0,460039;20,000031;20,000034;20,000033
0,461988;20,000029;20,000031;20,000031
0,463938;20,000027;20,000029;20,000028
0,465887;20,000025;20,000026;20,000026
0,467836;20,000023;20,000024;20,000024
0,469786;20,000021;20,000023;20,000022
0,471735;20,000019;20,000021;20,000021
0,473684;20,000018;20,000019;20,000019
0,475634;20,000017;20,000018;20,000018
0,477583;20,000016;20,000017;20,000017
0,479532;20,000015;20,000016;20,000015
