X;Implicit
0,000000;100,000000
0,083333;85,148127
0,166667;70,817892
0,250000;57,476981
0,333333;45,495188
0,416667;35,118025
0,500000;26,461332
0,583333;19,525779
0,666667;14,226517
0,750000;10,431138
0,833333;7,998837
0,916667;6,814694
1,000000;6,814694
