X;Explicit;Implicit
0,000000;74,378451;74,724490
0,019527;73,224122;73,572797
0,039055;72,088988;72,434676
0,058582;70,967615;71,310243
0,078110;69,860112;70,199607
0,097637;68,766578;69,102872
0,117165;67,687106;68,020132
0,136692;66,621782;66,951477
0,156219;65,570684;65,896987
0,175747;64,533884;64,856737
0,195274;63,511447;63,830793
0,214802;62,503428;62,819216
0,234329;61,509879;61,822056
0,253857;60,530841;60,839361
0,273384;59,566349;59,871168
0,292912;58,616434;58,917507
0,312439;57,681115;57,978404
0,331966;56,760407;57,053875
0,351494;55,854317;56,143930
0,371021;54,962845;55,248572
0,390549;54,085985;54,367797
0,410076;53,223724;53,501594
0,429604;52,376042;52,649947
0,449131;51,542911;51,812830
0,468658;50,724299;50,990214
0,488186;49,920166;50,182062
0,507713;49,130466;49,388330
0,527241;48,355148;48,608968
0,546768;47,594152;47,843921
0,566296;46,847415;47,093127
0,585823;46,114866;46,356518
0,605351;45,396430;45,634021
0,624878;44,692025;44,925557
0,644405;44,001564;44,231041
0,663933;43,324956;43,550384
0,683460;42,662103;42,883489
0,702988;42,012903;42,230259
0,722515;41,377248;41,590586
0,742043;40,755027;40,964361
0,761570;40,146123;40,351471
0,781097;39,550416;39,751795
0,800625;38,967779;39,165211
0,820152;38,398086;38,591592
0,839680;37,841202;38,030807
0,859207;37,296990;37,482720
0,878735;36,765311;36,947193
0,898262;36,246021;36,424084
0,917789;35,738974;35,913249
0,937317;35,244019;35,414538
0,956844;34,761003;34,927800
0,976372;34,289772;34,452882
0,995899;33,830168;33,989626
1,015427;33,382030;33,537875
1,034954;32,945196;33,097466
1,054482;32,519502;32,668237
1,074009;32,104781;32,250022
1,093536;31,700866;31,842655
1,113064;31,307588;31,445967
1,132591;30,924775;31,059789
1,152119;30,552256;30,683949
1,171646;30,189857;30,318275
1,191174;29,837406;29,962594
1,210701;29,494728;29,616733
1,230228;29,161648;29,280517
1,249756;28,837989;28,953771
1,269283;28,523578;28,636320
1,288811;28,218238;28,327989
1,308338;27,921793;28,028603
1,327866;27,634067;27,737986
1,347393;27,354886;27,455963
1,366921;27,084075;27,182359
1,386448;26,821459;26,917001
1,405975;26,566865;26,659715
1,425503;26,320120;26,410329
1,445030;26,081052;26,168670
1,464558;25,849490;25,934567
1,484085;25,625264;25,707852
1,503613;25,408206;25,488354
1,523140;25,198149;25,275907
1,542667;24,994927;25,070345
1,562195;24,798375;24,871503
1,581722;24,608330;24,679218
1,601250;24,424632;24,493329
1,620777;24,247122;24,313677
1,640305;24,075642;24,140103
1,659832;23,910036;23,972452
1,679360;23,750150;23,810569
1,698887;23,595834;23,654302
1,718414;23,446937;23,503502
1,737942;23,303312;23,358021
1,757469;23,164813;23,217713
1,776997;23,031299;23,082433
1,796524;22,902628;22,952042
1,816052;22,778661;22,826400
1,835579;22,659263;22,705370
1,855106;22,544299;22,588818
1,874634;22,433638;22,476612
1,894161;22,327152;22,368622
1,913689;22,224714;22,264721
1,933216;22,126199;22,164784
1,952744;22,031486;22,068689
1,972271;21,940455;21,976317
1,991798;21,852991;21,887549
2,011326;21,768979;21,802271
2,030853;21,688307;21,720370
2,050381;21,610865;21,641737
2,069908;21,536548;21,566264
2,089436;21,465250;21,493846
2,108963;21,396870;21,424380
2,128491;21,331309;21,357766
2,148018;21,268469;21,293907
2,167545;21,208256;21,232707
2,187073;21,150577;21,174073
2,206600;21,095343;21,117915
2,226128;21,042467;21,064145
2,245655;20,991863;21,012677
2,265183;20,943449;20,963427
2,284710;20,897144;20,916314
2,304237;20,852869;20,871259
2,323765;20,810549;20,828186
2,343292;20,770110;20,787020
2,362820;20,731481;20,747688
2,382347;20,694590;20,710121
2,401875;20,659372;20,674250
2,421402;20,625761;20,640009
2,440930;20,593693;20,607334
2,460457;20,563106;20,576163
2,479984;20,533943;20,546436
2,499512;20,506144;20,518095
2,519039;20,479654;20,491083
2,538567;20,454420;20,465346
2,558094;20,430389;20,440832
2,577622;20,407511;20,417490
2,597149;20,385737;20,395270
2,616676;20,365022;20,374125
2,636204;20,345318;20,354009
2,655731;20,326584;20,334878
2,675259;20,308776;20,316690
2,694786;20,291854;20,299403
2,714314;20,275779;20,282978
2,733841;20,260514;20,267377
2,753368;20,246022;20,252563
2,772896;20,232268;20,238500
2,792423;20,219218;20,225155
2,811951;20,206842;20,212495
2,831478;20,195107;20,200488
2,851006;20,183983;20,189105
2,870533;20,173443;20,178316
2,890061;20,163459;20,168093
2,909588;20,154004;20,158411
2,929115;20,145053;20,149242
2,948643;20,136582;20,140563
2,968170;20,128568;20,132350
2,987698;20,120988;20,124581
3,007225;20,113821;20,117233
3,026753;20,107048;20,110286
3,046280;20,100647;20,103720
3,065807;20,094601;20,097516
3,085335;20,088892;20,091657
3,104862;20,083503;20,086124
3,124390;20,078417;20,080902
3,143917;20,073619;20,075973
3,163445;20,069093;20,071324
3,182972;20,064827;20,066939
3,202500;20,060806;20,062806
3,222027;20,057017;20,058910
3,241554;20,053448;20,055240
3,261082;20,050088;20,051783
3,280609;20,046925;20,048527
3,300137;20,043949;20,045463
3,319664;20,041148;20,042580
3,339192;20,038515;20,039868
3,358719;20,036040;20,037317
3,378246;20,033713;20,034920
3,397774;20,031527;20,032666
3,417301;20,029474;20,030549
3,436829;20,027546;20,028561
3,456356;20,025737;20,026693
3,475884;20,024039;20,024941
3,495411;20,022446;20,023297
3,514938;20,020953;20,021754
3,534466;20,019553;20,020308
3,553993;20,018241;20,018952
3,573521;20,017012;20,017681
3,593048;20,015861;20,016491
3,612576;20,014783;20,015376
3,632103;20,013774;20,014332
3,651631;20,012831;20,013355
3,671158;20,011948;20,012441
3,690685;20,011123;20,011586
3,710213;20,010351;20,010786
3,729740;20,009630;20,010039
3,749268;20,008957;20,009341
3,768795;20,008328;20,008688
3,788323;20,007741;20,008079
3,807850;20,007193;20,007510
3,827377;20,006681;20,006979
3,846905;20,006205;20,006484
3,866432;20,005760;20,006022
3,885960;20,005346;20,005591
3,905487;20,004960;20,005190
3,925015;20,004600;20,004815
3,944542;20,004265;20,004467
3,964070;20,003954;20,004142
3,983597;20,003664;20,003840
4,003124;20,003394;20,003559
4,022652;20,003143;20,003297
4,042179;20,002910;20,003054
4,061707;20,002693;20,002828
4,081234;20,002492;20,002618
4,100762;20,002305;20,002422
4,120289;20,002131;20,002241
4,139816;20,001970;20,002072
4,159344;20,001820;20,001916
4,178871;20,001682;20,001771
4,198399;20,001553;20,001636
4,217926;20,001434;20,001511
4,237454;20,001323;20,001395
4,256981;20,001221;20,001288
4,276508;20,001126;20,001189
4,296036;20,001038;20,001097
4,315563;20,000957;20,001011
4,335091;20,000882;20,000933
4,354618;20,000812;20,000860
4,374146;20,000748;20,000792
4,393673;20,000689;20,000730
4,413201;20,000634;20,000672
4,432728;20,000583;20,000618
4,452255;20,000537;20,000569
4,471783;20,000493;20,000524
4,491310;20,000453;20,000482
4,510838;20,000417;20,000443
4,530365;20,000383;20,000407
4,549893;20,000352;20,000374
4,569420;20,000323;20,000344
4,588947;20,000296;20,000315
4,608475;20,000272;20,000290
4,628002;20,000249;20,000266
4,647530;20,000229;20,000244
4,667057;20,000209;20,000224
4,686585;20,000192;20,000205
4,706112;20,000176;20,000188
4,725640;20,000161;20,000172
4,745167;20,000147;20,000158
4,764694;20,000135;20,000145
4,784222;20,000123;20,000132
4,803749;20,000113;20,000121
4,823277;20,000103;20,000111
4,842804;20,000094;20,000101
4,862332;20,000086;20,000093
4,881859;20,000079;20,000085
4,901386;20,000072;20,000077
4,920914;20,000066;20,000071
4,940441;20,000060;20,000065
4,959969;20,000055;20,000059
4,979496;20,000050;20,000054
4,999024;20,000045;20,000049
5,018551;20,000041;20,000045
5,038079;20,000038;20,000041
5,057606;20,000034;20,000037
5,077133;20,000031;20,000034
5,096661;20,000028;20,000031
5,116188;20,000026;20,000028
5,135716;20,000024;20,000026
5,155243;20,000021;20,000023
5,174771;20,000019;20,000021
5,194298;20,000018;20,000019
5,213825;20,000016;20,000018
5,233353;20,000015;20,000016
5,252880;20,000013;20,000014
5,272408;20,000012;20,000013
5,291935;20,000011;20,000012
5,311463;20,000010;20,000011
5,330990;20,000009;20,000010
5,350517;20,000008;20,000009
5,370045;20,000007;20,000008
5,389572;20,000007;20,000007
5,409100;20,000006;20,000007
5,428627;20,000005;20,000006
5,448155;20,000005;20,000005
5,467682;20,000004;20,000005
5,487210;20,000004;20,000004
5,506737;20,000004;20,000004
5,526264;20,000003;20,000004
5,545792;20,000003;20,000003
5,565319;20,000003;20,000003
5,584847;20,000002;20,000003
5,604374;20,000002;20,000002
5,623902;20,000002;20,000002
5,643429;20,000002;20,000002
5,662956;20,000002;20,000002
5,682484;20,000001;20,000002
5,702011;20,000001;20,000001
5,721539;20,000001;20,000001
5,741066;20,000001;20,000001
5,760594;20,000001;20,000001
5,780121;20,000001;20,000001
5,799649;20,000001;20,000001
5,819176;20,000001;20,000001
5,838703;20,000001;20,000001
5,858231;20,000001;20,000001
5,877758;20,000001;20,000001
5,897286;20,000000;20,000001
5,916813;20,000000;20,000000
5,936341;20,000000;20,000000
5,955868;20,000000;20,000000
5,975395;20,000000;20,000000
5,994923;20,000000;20,000000
6,014450;20,000000;20,000000
6,033978;20,000000;20,000000
6,053505;20,000000;20,000000
6,073033;20,000000;20,000000
6,092560;20,000000;20,000000
6,112087;20,000000;20,000000
6,131615;20,000000;20,000000
6,151142;20,000000;20,000000
6,170670;20,000000;20,000000
6,190197;20,000000;20,000000
6,209725;20,000000;20,000000
6,229252;20,000000;20,000000
6,248780;20,000000;20,000000
6,268307;20,000000;20,000000
6,287834;20,000000;20,000000
6,307362;20,000000;20,000000
6,326889;20,000000;20,000000
6,346417;20,000000;20,000000
6,365944;20,000000;20,000000
6,385472;20,000000;20,000000
6,404999;20,000000;20,000000
6,424526;20,000000;20,000000
6,444054;20,000000;20,000000
6,463581;20,000000;20,000000
6,483109;20,000000;20,000000
6,502636;20,000000;20,000000
6,522164;20,000000;20,000000
6,541691;20,000000;20,000000
6,561219;20,000000;20,000000
6,580746;20,000000;20,000000
6,600273;20,000000;20,000000
6,619801;20,000000;20,000000
6,639328;20,000000;20,000000
6,658856;20,000000;20,000000
6,678383;20,000000;20,000000
6,697911;20,000000;20,000000
6,717438;20,000000;20,000000
6,736965;20,000000;20,000000
6,756493;20,000000;20,000000
6,776020;20,000000;20,000000
6,795548;20,000000;20,000000
6,815075;20,000000;20,000000
6,834603;20,000000;20,000000
6,854130;20,000000;20,000000
6,873657;20,000000;20,000000
6,893185;20,000000;20,000000
6,912712;20,000000;20,000000
6,932240;20,000000;20,000000
6,951767;20,000000;20,000000
6,971295;20,000000;20,000000
6,990822;20,000000;20,000000
7,010350;20,000000;20,000000
7,029877;20,000000;20,000000
7,049404;20,000000;20,000000
7,068932;20,000000;20,000000
