X;Temperature_Explicit;Temperature_Implicit
0,000000;40,232912;40,232912
0,001949;40,077196;40,077196
0,003899;39,922223;39,922223
0,005848;39,767984;39,767984
0,007797;39,614482;39,614482
0,009747;39,461714;39,461714
0,011696;39,309683;39,309683
0,013645;39,158388;39,158388
0,015595;39,007830;39,007830
0,017544;38,858009;38,858009
0,019493;38,708926;38,708926
0,021442;38,560580;38,560580
0,023392;38,412973;38,412973
0,025341;38,266105;38,266105
0,027290;38,119976;38,119976
0,029240;37,974586;37,974586
0,031189;37,829935;37,829935
0,033138;37,686025;37,686025
0,035088;37,542854;37,542854
0,037037;37,400423;37,400423
0,038986;37,258732;37,258732
0,040936;37,117781;37,117781
0,042885;36,977571;36,977571
0,044834;36,838100;36,838100
0,046784;36,699370;36,699370
0,048733;36,561380;36,561380
0,050682;36,424129;36,424129
0,052632;36,287619;36,287619
0,054581;36,151847;36,151847
0,056530;36,016816;36,016816
0,058480;35,882523;35,882523
0,060429;35,748969;35,748969
0,062378;35,616153;35,616153
0,064327;35,484076;35,484076
0,066277;35,352736;35,352736
0,068226;35,222133;35,222133
0,070175;35,092268;35,092268
0,072125;34,963138;34,963138
0,074074;34,834745;34,834745
0,076023;34,707087;34,707087
0,077973;34,580163;34,580163
0,079922;34,453973;34,453973
0,081871;34,328517;34,328517
0,083821;34,203794;34,203794
0,085770;34,079802;34,079802
0,087719;33,956542;33,956542
0,089669;33,834012;33,834012
0,091618;33,712212;33,712212
0,093567;33,591140;33,591140
0,095517;33,470797;33,470797
0,097466;33,351180;33,351180
0,099415;33,232290;33,232290
0,101365;33,114124;33,114124
0,103314;32,996683;32,996683
0,105263;32,879964;32,879964
0,107212;32,763968;32,763968
0,109162;32,648692;32,648692
0,111111;32,534136;32,534136
0,113060;32,420299;32,420299
0,115010;32,307179;32,307179
0,116959;32,194775;32,194775
0,118908;32,083086;32,083086
0,120858;31,972111;31,972111
0,122807;31,861848;31,861848
0,124756;31,752296;31,752296
0,126706;31,643453;31,643453
0,128655;31,535319;31,535319
0,130604;31,427892;31,427892
0,132554;31,321170;31,321170
0,134503;31,215152;31,215152
0,136452;31,109836;31,109836
0,138402;31,005221;31,005221
0,140351;30,901305;30,901305
0,142300;30,798087;30,798087
0,144250;30,695565;30,695565
0,146199;30,593737;30,593737
0,148148;30,492603;30,492603
0,150097;30,392159;30,392159
0,152047;30,292404;30,292404
0,153996;30,193338;30,193338
0,155945;30,094956;30,094956
0,157895;29,997259;29,997259
0,159844;29,900244;29,900244
0,161793;29,803910;29,803910
0,163743;29,708254;29,708254
0,165692;29,613274;29,613274
0,167641;29,518969;29,518969
0,169591;29,425337;29,425337
0,171540;29,332376;29,332376
0,173489;29,240083;29,240083
0,175439;29,148457;29,148457
0,177388;29,057496;29,057496
0,179337;28,967197;28,967197
0,181287;28,877559;28,877559
0,183236;28,788579;28,788579
0,185185;28,700256;28,700256
0,187135;28,612586;28,612586
0,189084;28,525569;28,525569
0,191033;28,439202;28,439202
0,192982;28,353482;28,353482
0,194932;28,268408;28,268408
0,196881;28,183976;28,183976
0,198830;28,100186;28,100186
0,200780;28,017034;28,017034
0,202729;27,934518;27,934518
0,204678;27,852636;27,852636
0,206628;27,771386;27,771386
0,208577;27,690765;27,690765
0,210526;27,610771;27,610771
0,212476;27,531401;27,531401
0,214425;27,452654;27,452654
0,216374;27,374526;27,374526
0,218324;27,297015;27,297015
0,220273;27,220118;27,220118
0,222222;27,143834;27,143834
0,224172;27,068160;27,068160
0,226121;26,993093;26,993093
0,228070;26,918630;26,918630
0,230019;26,844769;26,844769
0,231969;26,771508;26,771508
0,233918;26,698844;26,698844
0,235867;26,626775;26,626775
0,237817;26,555297;26,555297
0,239766;26,484408;26,484408
0,241715;26,414105;26,414105
0,243665;26,344387;26,344387
0,245614;26,275250;26,275250
0,247563;26,206691;26,206691
0,249513;26,138708;26,138708
0,251462;26,071298;26,071298
0,253411;26,004459;26,004459
0,255361;25,938188;25,938188
0,257310;25,872481;25,872481
0,259259;25,807337;25,807337
0,261209;25,742752;25,742752
0,263158;25,678724;25,678724
0,265107;25,615251;25,615251
0,267057;25,552328;25,552328
0,269006;25,489954;25,489954
0,270955;25,428125;25,428125
0,272904;25,366839;25,366839
0,274854;25,306094;25,306094
0,276803;25,245885;25,245885
0,278752;25,186211;25,186211
0,280702;25,127068;25,127068
0,282651;25,068455;25,068455
0,284600;25,010367;25,010367
0,286550;24,952802;24,952802
0,288499;24,895757;24,895757
0,290448;24,839229;24,839229
0,292398;24,783216;24,783216
0,294347;24,727714;24,727714
0,296296;24,672721;24,672721
0,298246;24,618234;24,618234
0,300195;24,564249;24,564249
0,302144;24,510764;24,510764
0,304094;24,457777;24,457777
0,306043;24,405283;24,405283
0,307992;24,353281;24,353281
0,309942;24,301767;24,301767
0,311891;24,250739;24,250739
0,313840;24,200193;24,200193
0,315789;24,150126;24,150126
0,317739;24,100536;24,100536
0,319688;24,051420;24,051420
0,321637;24,002774;24,002774
0,323587;23,954597;23,954597
0,325536;23,906884;23,906884
