X; Explicit
0,621832;20,0009
0,623782;20,0009
0,625731;20,0010
0,627680;20,0011
0,629630;20,0012
0,631579;20,0013
0,633528;20,0014
0,635478;20,0015
0,637427;20,0016
0,639376;20,0017
0,641326;20,0018
0,643275;20,0019
0,645224;20,0021
0,647173;20,0022
0,649123;20,0024
0,651072;20,0025
0,653021;20,0027
0,654971;20,0029
0,656920;20,0031
0,658869;20,0033
0,660819;20,0036
0,662768;20,0038
0,664717;20,0041
0,666667;20,0044
0,668616;20,0047
0,670565;20,0050
0,672515;20,0053
0,674464;20,0057
0,676413;20,0061
0,678363;20,0065
0,680312;20,0069
0,682261;20,0074
0,684211;20,0079
0,686160;20,0084
0,688109;20,0089
0,690058;20,0095
0,692008;20,0101
0,693957;20,0108
0,695906;20,0115
0,697856;20,0122
0,699805;20,0130
0,701754;20,0138
0,703704;20,0147
0,705653;20,0156
0,707602;20,0166
0,709552;20,0176
0,711501;20,0187
0,713450;20,0198
0,715400;20,0210
0,717349;20,0223
0,719298;20,0237
0,721248;20,0251
0,723197;20,0266
0,725146;20,0282
0,727096;20,0298
0,729045;20,0316
0,730994;20,0335
0,732943;20,0355
0,734893;20,0375
0,736842;20,0397
0,738791;20,0419
0,740741;20,0444
0,742690;20,0468
0,744639;20,0495
0,746589;20,0523
0,748538;20,0552
0,750487;20,0582
0,752437;20,0616
0,754386;20,0649
0,756335;20,0685
0,758285;20,0721
0,760234;20,0761
0,762183;20,0801
0,764133;20,0845
0,766082;20,0889
0,768031;20,0938
0,769981;20,0986
0,771930;20,1039
0,773879;20,1092
0,775828;20,1150
0,777778;20,1208
0,779727;20,1271
0,781676;20,1334
0,783626;20,1403
0,785575;20,1472
0,787524;20,1548
0,789474;20,1623
0,791423;20,1705
0,793372;20,1787
0,795322;20,1877
0,797271;20,1966
0,799220;20,2063
0,801170;20,2160
0,803119;20,2266
0,805068;20,2371
0,807018;20,2485
0,808967;20,2600
0,810916;20,2724
0,812865;20,2847
0,814815;20,2981
0,816764;20,3115
0,818713;20,3260
0,820663;20,3404
0,822612;20,3561
0,824561;20,3717
0,826511;20,3885
0,828460;20,4053
0,830409;20,4235
0,832359;20,4416
0,834308;20,4611
0,836257;20,4806
0,838207;20,5015
0,840156;20,5224
0,842105;20,5449
0,844055;20,5674
0,846004;20,5915
0,847953;20,6155
0,849903;20,6413
0,851852;20,6671
0,853801;20,6947
0,855750;20,7222
0,857700;20,7517
0,859649;20,7811
0,861598;20,8125
0,863548;20,8440
0,865497;20,8775
0,867446;20,9109
0,869396;20,9466
0,871345;20,9822
0,873294;21,0202
0,875244;21,0581
0,877193;21,0983
0,879142;21,1386
0,881092;21,1813
0,883041;21,2241
0,884990;21,2694
0,886940;21,3147
0,888889;21,3626
0,890838;21,4106
0,892788;21,4613
0,894737;21,5120
0,896686;21,5656
0,898635;21,6192
0,900585;21,6757
0,902534;21,7323
0,904483;21,7919
0,906433;21,8515
0,908382;21,9143
0,910331;21,9770
0,912281;22,0431
0,914230;22,1091
0,916179;22,1785
0,918129;22,2479
0,920078;22,3208
0,922027;22,3937
0,923977;22,4701
0,925926;22,5465
0,927875;22,6265
0,929825;22,7066
0,931774;22,7904
0,933723;22,8742
0,935673;22,9618
0,937622;23,0493
0,939571;23,1408
0,941520;23,2323
0,943470;23,3278
0,945419;23,4232
0,947368;23,5227
0,949318;23,6222
0,951267;23,7259
0,953216;23,8295
0,955166;23,9373
0,957115;24,0451
0,959064;24,1571
0,961014;24,2692
0,962963;24,3855
0,964912;24,5018
0,966862;24,6225
0,968811;24,7432
0,970760;24,8682
0,972710;24,9933
0,974659;25,1228
0,976608;25,2523
0,978558;25,3862
0,980507;25,5202
0,982456;25,6586
0,984405;25,7970
0,986355;25,9399
0,988304;26,0829
0,990253;26,2303
0,992203;26,3778
0,994152;26,5298
0,996101;26,6817
0,998051;26,8382
1,000000;26,9948
