X;Explicit
0,000000;0,000000
0,045455;-404223300279,224000
0,090909;599972131529,645000
0,136364;-543040267293,929000
0,181818;350483697512,548000
0,227273;-166429643745,623000
0,272727;57475760401,680700
0,318182;-13773907654,770100
0,363636;2060975908,094330
0,409091;-145749796,422795
0,454545;99,999999
0,500000;100,000000
0,545455;99,999999
0,590909;-145749796,422795
0,636364;2060975908,094330
0,681818;-13773907654,770100
0,727273;57475760401,680700
0,772727;-166429643745,623000
0,818182;350483697512,548000
0,863636;-543040267293,929000
0,909091;599972131529,646000
0,954545;-404223300279,226000
1,000000;0,000000
