X;Implicit
0,000000;100,000000
0,083333;95,464649
0,166667;91,013802
0,250000;86,730385
0,333333;82,694201
0,416667;78,980437
0,500000;75,658270
0,583333;72,789573
0,666667;70,427767
0,750000;68,616830
0,833333;67,390477
0,916667;66,771540
1,000000;66,771540
