X;Temperature_Explicit;Temperature_Implicit
0,411306;20,000252;20,000252
0,413255;20,000233;20,000233
0,415205;20,000215;20,000215
0,417154;20,000199;20,000199
0,419103;20,000184;20,000184
0,421053;20,000170;20,000170
0,423002;20,000157;20,000157
0,424951;20,000144;20,000144
0,426901;20,000133;20,000133
0,428850;20,000123;20,000123
0,430799;20,000113;20,000113
0,432749;20,000105;20,000105
0,434698;20,000096;20,000096
0,436647;20,000089;20,000089
0,438596;20,000082;20,000082
0,440546;20,000075;20,000075
0,442495;20,000069;20,000069
0,444444;20,000064;20,000064
0,446394;20,000059;20,000059
0,448343;20,000054;20,000054
0,450292;20,000050;20,000050
0,452242;20,000046;20,000046
0,454191;20,000042;20,000042
0,456140;20,000038;20,000038
0,458090;20,000035;20,000035
0,460039;20,000032;20,000032
0,461988;20,000030;20,000030
0,463938;20,000027;20,000027
0,465887;20,000025;20,000025
0,467836;20,000023;20,000023
0,469786;20,000021;20,000021
0,471735;20,000019;20,000019
0,473684;20,000018;20,000018
0,475634;20,000016;20,000016
0,477583;20,000015;20,000015
0,479532;20,000014;20,000014
0,481481;20,000012;20,000012
0,483431;20,000011;20,000011
0,485380;20,000010;20,000010
0,487329;20,000009;20,000009
0,489279;20,000009;20,000009
0,491228;20,000008;20,000008
0,493177;20,000007;20,000007
0,495127;20,000007;20,000007
0,497076;20,000006;20,000006
0,499025;20,000005;20,000005
0,500975;20,000005;20,000005
0,502924;20,000005;20,000005
0,504873;20,000004;20,000004
0,506823;20,000004;20,000004
0,508772;20,000003;20,000003
0,510721;20,000003;20,000003
0,512671;20,000003;20,000003
0,514620;20,000003;20,000003
0,516569;20,000002;20,000002
0,518519;20,000002;20,000002
0,520468;20,000002;20,000002
0,522417;20,000002;20,000002
0,524366;20,000002;20,000002
0,526316;20,000001;20,000001
0,528265;20,000001;20,000001
0,530214;20,000001;20,000001
0,532164;20,000001;20,000001
0,534113;20,000001;20,000001
0,536062;20,000001;20,000001
0,538012;20,000001;20,000001
0,539961;20,000001;20,000001
0,541910;20,000001;20,000001
0,543860;20,000001;20,000001
0,545809;20,000001;20,000001
0,547758;20,000001;20,000001
0,549708;20,000000;20,000000
0,551657;20,000000;20,000000
0,553606;20,000000;20,000000
0,555556;20,000000;20,000000
0,557505;20,000000;20,000000
0,559454;20,000000;20,000000
0,561404;20,000000;20,000000
0,563353;20,000000;20,000000
0,565302;20,000000;20,000000
0,567251;20,000000;20,000000
0,569201;20,000000;20,000000
0,571150;20,000000;20,000000
0,573099;20,000000;20,000000
0,575049;20,000000;20,000000
0,576998;20,000000;20,000000
0,578947;20,000000;20,000000
0,580897;20,000000;20,000000
0,582846;20,000000;20,000000
0,584795;20,000000;20,000000
0,586745;20,000000;20,000000
0,588694;20,000000;20,000000
0,590643;20,000000;20,000000
0,592593;20,000000;20,000000
0,594542;20,000000;20,000000
0,596491;20,000000;20,000000
0,598441;20,000000;20,000000
0,600390;20,000000;20,000000
0,602339;20,000000;20,000000
0,604288;20,000000;20,000000
0,606238;20,000000;20,000000
0,608187;20,000000;20,000000
0,610136;20,000000;20,000000
0,612086;20,000000;20,000000
0,614035;20,000000;20,000000
0,615984;20,000000;20,000000
0,617934;20,000000;20,000000
0,619883;20,000000;20,000000
0,621832;20,000000;20,000000
0,623782;20,000000;20,000000
0,625731;20,000000;20,000000
0,627680;20,000000;20,000000
0,629630;20,000000;20,000000
0,631579;20,000000;20,000000
0,633528;20,000000;20,000000
0,635478;20,000000;20,000000
0,637427;20,000000;20,000000
0,639376;20,000000;20,000000
0,641326;20,000000;20,000000
0,643275;20,000000;20,000000
0,645224;20,000000;20,000000
0,647173;20,000000;20,000000
0,649123;20,000000;20,000000
0,651072;20,000000;20,000000
0,653021;20,000000;20,000000
0,654971;20,000000;20,000000
0,656920;20,000000;20,000000
0,658869;20,000000;20,000000
0,660819;20,000000;20,000000
0,662768;20,000000;20,000000
0,664717;20,000000;20,000000
0,666667;20,000000;20,000000
0,668616;20,000000;20,000000
0,670565;20,000000;20,000000
0,672515;20,000000;20,000000
0,674464;20,000000;20,000000
0,676413;20,000000;20,000000
0,678363;20,000000;20,000000
0,680312;20,000000;20,000000
0,682261;20,000000;20,000000
0,684211;20,000000;20,000000
0,686160;20,000000;20,000000
0,688109;20,000000;20,000000
0,690058;20,000000;20,000000
0,692008;20,000000;20,000000
0,693957;20,000000;20,000000
0,695906;20,000000;20,000000
