X;Implicit;CrankNicolson
0,000000;100,000000;100,000000
0,045455;95,454545;95,455556
0,090909;90,909091;90,909797
0,136364;86,363636;86,363852
0,181818;81,818182;81,818068
0,227273;77,272727;77,272486
0,272727;72,727273;72,727037
0,318182;68,181818;68,181655
0,363636;63,636364;63,636284
0,409091;59,090909;59,090895
0,454545;54,545455;54,545486
0,500000;50,000000;50,000046
0,545455;45,454545;45,454599
0,590909;40,909091;40,909127
0,636364;36,363636;36,363668
0,681818;31,818182;31,818191
0,727273;27,272727;27,272734
0,772727;22,727273;22,727263
0,818182;18,181818;18,181813
0,863636;13,636364;13,636351
0,909091;9,090909;9,090904
0,954545;4,545455;4,545449
1,000000;0,000000;0,000000
