X;Explicit;Implicit
41,325536;20,000000;20,000000
41,520468;20,000000;20,000000
41,715400;20,000000;20,000000
41,910331;20,000000;20,000000
42,105263;20,000000;20,000000
42,300195;20,000000;20,000000
42,495127;20,000000;20,000000
42,690058;20,000000;20,000000
42,884990;20,000000;20,000000
43,079922;20,000000;20,000000
43,274854;20,000000;20,000000
43,469786;20,000000;20,000000
43,664717;20,000000;20,000000
43,859649;20,000000;20,000000
44,054581;20,000000;20,000000
44,249513;20,000000;20,000000
44,444444;20,000000;20,000000
44,639376;20,000000;20,000000
44,834308;20,000000;20,000000
45,029240;20,000000;20,000000
45,224172;20,000000;20,000000
45,419103;20,000000;20,000000
45,614035;20,000000;20,000000
45,808967;20,000000;20,000000
46,003899;20,000000;20,000000
46,198830;20,000000;20,000000
46,393762;20,000000;20,000000
46,588694;20,000000;20,000000
46,783626;20,000000;20,000000
46,978558;20,000000;20,000000
47,173489;20,000000;20,000000
47,368421;20,000000;20,000000
47,563353;20,000000;20,000000
47,758285;20,000000;20,000000
47,953216;20,000000;20,000000
48,148148;20,000000;20,000000
48,343080;20,000000;20,000000
48,538012;20,000000;20,000000
48,732943;20,000000;20,000000
48,927875;20,000000;20,000000
49,122807;20,000000;20,000000
49,317739;20,000000;20,000000
49,512671;20,000000;20,000000
49,707602;20,000000;20,000000
49,902534;20,000000;20,000000
50,097466;20,000000;20,000000
50,292398;20,000000;20,000000
50,487329;20,000000;20,000000
50,682261;20,000000;20,000000
50,877193;20,000000;20,000000
51,072125;20,000000;20,000000
51,267057;20,000000;20,000000
51,461988;20,000000;20,000000
51,656920;20,000000;20,000000
51,851852;20,000000;20,000000
52,046784;20,000000;20,000000
52,241715;20,000000;20,000000
52,436647;20,000000;20,000000
52,631579;20,000000;20,000000
52,826511;20,000000;20,000000
53,021442;20,000000;20,000000
53,216374;20,000000;20,000000
53,411306;20,000000;20,000000
53,606238;20,000000;20,000000
53,801170;20,000000;20,000000
53,996101;20,000000;20,000000
54,191033;20,000000;20,000000
54,385965;20,000000;20,000000
54,580897;20,000000;20,000000
54,775828;20,000000;20,000000
54,970760;20,000000;20,000000
55,165692;20,000000;20,000000
55,360624;20,000000;20,000000
55,555556;20,000000;20,000000
55,750487;20,000000;20,000000
55,945419;20,000000;20,000000
56,140351;20,000000;20,000000
56,335283;20,000000;20,000000
56,530214;20,000000;20,000000
56,725146;20,000000;20,000000
56,920078;20,000000;20,000000
57,115010;20,000000;20,000000
57,309942;20,000000;20,000000
57,504873;20,000000;20,000000
57,699805;20,000000;20,000000
57,894737;20,000000;20,000000
58,089669;20,000000;20,000000
58,284600;20,000000;20,000000
58,479532;20,000000;20,000000
58,674464;20,000000;20,000000
58,869396;20,000000;20,000000
59,064327;20,000000;20,000000
59,259259;20,000000;20,000000
59,454191;20,000000;20,000000
59,649123;20,000000;20,000000
59,844055;20,000000;20,000000
60,038986;20,000000;20,000000
60,233918;20,000000;20,000000
60,428850;20,000000;20,000000
60,623782;20,000000;20,000000
60,818713;20,000000;20,000000
61,013645;20,000000;20,000000
61,208577;20,000000;20,000000
61,403509;20,000000;20,000000
61,598441;20,000000;20,000000
61,793372;20,000000;20,000000
61,988304;20,000000;20,000000
62,183236;20,000000;20,000000
62,378168;20,000000;20,000000
62,573099;20,000000;20,000000
62,768031;20,000000;20,000000
62,962963;20,000000;20,000000
63,157895;20,000000;20,000000
63,352827;20,000000;20,000000
63,547758;20,000000;20,000000
63,742690;20,000000;20,000000
63,937622;20,000000;20,000000
64,132554;20,000000;20,000000
64,327485;20,000000;20,000000
64,522417;20,000000;20,000000
64,717349;20,000000;20,000000
64,912281;20,000000;20,000000
65,107212;20,000000;20,000000
65,302144;20,000000;20,000000
65,497076;20,000000;20,000000
