X;Explicit;Implicit
0,000000;212,873326;212,873326
0,001961;213,657640;213,657640
0,003922;214,441954;214,441954
0,005882;215,226268;215,226268
0,007843;216,010581;216,010581
0,009804;216,794895;216,794895
0,011765;217,579209;217,579209
0,013725;218,363523;218,363523
0,015686;219,147836;219,147836
0,017647;219,932150;219,932150
0,019608;220,716464;220,716464
0,021569;221,500777;221,500777
0,023529;222,285091;222,285091
0,025490;223,069405;223,069405
0,027451;223,853719;223,853719
0,029412;224,638032;224,638032
0,031373;225,422346;225,422346
0,033333;226,206660;226,206660
0,035294;226,990974;226,990974
0,037255;227,775287;227,775287
0,039216;228,559601;228,559601
0,041176;229,343915;229,343915
0,043137;230,128228;230,128228
0,045098;230,912542;230,912542
0,047059;231,696856;231,696856
0,049020;232,481170;232,481170
0,050980;233,265483;233,265483
0,052941;234,049797;234,049797
0,054902;234,834111;234,834111
0,056863;235,618425;235,618425
0,058824;236,402738;236,402738
0,060784;237,187052;237,187052
0,062745;237,971366;237,971366
0,064706;238,755679;238,755679
0,066667;239,539993;239,539993
0,068627;240,324307;240,324307
0,070588;241,108621;241,108621
0,072549;241,892934;241,892934
0,074510;242,677248;242,677248
0,076471;243,461562;243,461562
0,078431;244,245875;244,245875
0,080392;245,030189;245,030189
0,082353;245,814503;245,814503
0,084314;246,598817;246,598817
0,086275;247,383130;247,383130
0,088235;248,167444;248,167444
0,090196;248,951758;248,951758
0,092157;249,736072;249,736072
0,094118;250,520385;250,520385
0,096078;251,304699;251,304699
0,098039;252,089013;252,089013
0,100000;252,873326;252,873326
