X;Implicit;CrankNicolson
0,000000;0,000000;0,000000
0,045455;7,100645;6,918491
0,090909;14,051510;14,187356
0,136364;20,706822;20,727960
0,181818;26,928562;26,940891
0,227273;32,589728;32,658973
0,272727;37,576975;37,700405
0,318182;41,792564;41,960158
0,363636;45,155657;45,363804
0,409091;47,603064;47,847086
0,454545;49,089584;49,358731
0,500000;49,588102;49,866279
0,545455;49,089584;49,358731
0,590909;47,603064;47,847086
0,636364;45,155657;45,363804
0,681818;41,792564;41,960158
0,727273;37,576975;37,700405
0,772727;32,589728;32,658973
0,818182;26,928562;26,940891
0,863636;20,706822;20,727960
0,909091;14,051510;14,187356
0,954545;7,100645;6,918491
1,000000;0,000000;0,000000
