X;Explicit;Implicit;CN
0,309942;20,009521;20,009883;20,009841
0,311891;20,008923;20,009281;20,009241
0,313840;20,008390;20,008714;20,008675
0,315789;20,007857;20,008179;20,008142
0,317739;20,007384;20,007674;20,007639
0,319688;20,006911;20,007198;20,007165
0,321637;20,006491;20,006750;20,006718
0,323587;20,006072;20,006328;20,006297
0,325536;20,005700;20,005931;20,005901
0,327485;20,005328;20,005557;20,005529
0,329435;20,004999;20,005205;20,005178
0,331384;20,004670;20,004874;20,004848
0,333333;20,004379;20,004563;20,004538
0,335283;20,004088;20,004270;20,004246
0,337232;20,003831;20,003995;20,003972
0,339181;20,003574;20,003736;20,003715
0,341131;20,003348;20,003493;20,003473
0,343080;20,003122;20,003265;20,003246
0,345029;20,002922;20,003051;20,003033
0,346979;20,002723;20,002851;20,002833
0,348928;20,002548;20,002662;20,002645
0,350877;20,002372;20,002486;20,002469
0,352827;20,002218;20,002320;20,002305
0,354776;20,002064;20,002165;20,002150
0,356725;20,001929;20,002019;20,002005
0,358674;20,001794;20,001883;20,001870
0,360624;20,001676;20,001755;20,001743
0,362573;20,001558;20,001636;20,001624
0,364522;20,001454;20,001524;20,001513
0,366472;20,001351;20,001420;20,001409
0,368421;20,001260;20,001322;20,001312
0,370370;20,001170;20,001231;20,001221
0,372320;20,001091;20,001145;20,001136
0,374269;20,001012;20,001065;20,001057
0,376218;20,000943;20,000991;20,000983
0,378168;20,000874;20,000921;20,000914
0,380117;20,000814;20,000856;20,000849
0,382066;20,000754;20,000796;20,000789
0,384016;20,000702;20,000739;20,000733
0,385965;20,000650;20,000686;20,000680
0,387914;20,000605;20,000637;20,000631
0,389864;20,000560;20,000591;20,000586
0,391813;20,000520;20,000549;20,000544
0,393762;20,000481;20,000509;20,000504
0,395712;20,000447;20,000472;20,000467
0,397661;20,000413;20,000438;20,000433
0,399610;20,000384;20,000405;20,000401
0,401559;20,000354;20,000376;20,000372
0,403509;20,000329;20,000348;20,000344
0,405458;20,000304;20,000322;20,000319
0,407407;20,000282;20,000298;20,000295
0,409357;20,000260;20,000276;20,000273
0,411306;20,000241;20,000255;20,000252
0,413255;20,000222;20,000236;20,000233
0,415205;20,000206;20,000218;20,000216
0,417154;20,000189;20,000202;20,000199
0,419103;20,000175;20,000186;20,000184
0,421053;20,000162;20,000172;20,000170
0,423002;20,000150;20,000159;20,000157
0,424951;20,000138;20,000147;20,000145
0,426901;20,000127;20,000135;20,000134
0,428850;20,000117;20,000125;20,000123
0,430799;20,000108;20,000115;20,000114
0,432749;20,000099;20,000106;20,000105
0,434698;20,000092;20,000098;20,000097
0,436647;20,000084;20,000090;20,000089
0,438596;20,000078;20,000083;20,000082
0,440546;20,000072;20,000077;20,000076
0,442495;20,000066;20,000071;20,000070
0,444444;20,000061;20,000065;20,000064
0,446394;20,000056;20,000060;20,000059
0,448343;20,000051;20,000055;20,000054
0,450292;20,000047;20,000051;20,000050
0,452242;20,000044;20,000047;20,000046
0,454191;20,000040;20,000043;20,000042
0,456140;20,000037;20,000040;20,000039
0,458090;20,000034;20,000037;20,000036
0,460039;20,000031;20,000034;20,000033
0,461988;20,000029;20,000031;20,000031
0,463938;20,000027;20,000029;20,000028
0,465887;20,000025;20,000026;20,000026
0,467836;20,000023;20,000024;20,000024
0,469786;20,000021;20,000023;20,000022
0,471735;20,000019;20,000021;20,000021
0,473684;20,000018;20,000019;20,000019
0,475634;20,000017;20,000018;20,000018
0,477583;20,000016;20,000017;20,000017
0,479532;20,000015;20,000016;20,000015
0,481481;20,000014;20,000015;20,000015
0,483431;20,000013;20,000014;20,000014
0,485380;20,000012;20,000013;20,000013
0,487329;20,000012;20,000013;20,000012
0,489279;20,000011;20,000012;20,000012
0,491228;20,000011;20,000012;20,000011
0,493177;20,000010;20,000011;20,000011
0,495127;20,000010;20,000011;20,000011
0,497076;20,000010;20,000011;20,000011
0,499025;20,000010;20,000011;20,000010
0,500975;20,000010;20,000011;20,000010
0,502924;20,000010;20,000011;20,000011
0,504873;20,000010;20,000011;20,000011
0,506823;20,000010;20,000011;20,000011
0,508772;20,000011;20,000012;20,000011
0,510721;20,000011;20,000012;20,000012
0,512671;20,000012;20,000013;20,000012
0,514620;20,000012;20,000013;20,000013
0,516569;20,000013;20,000014;20,000014
0,518519;20,000014;20,000015;20,000015
0,520468;20,000015;20,000016;20,000015
0,522417;20,000016;20,000017;20,000017
0,524366;20,000017;20,000018;20,000018
0,526316;20,000018;20,000019;20,000019
0,528265;20,000019;20,000021;20,000021
0,530214;20,000021;20,000023;20,000022
0,532164;20,000023;20,000024;20,000024
0,534113;20,000025;20,000026;20,000026
0,536062;20,000027;20,000029;20,000028
0,538012;20,000029;20,000031;20,000031
0,539961;20,000031;20,000034;20,000033
0,541910;20,000034;20,000037;20,000036
0,543860;20,000037;20,000040;20,000039
0,545809;20,000040;20,000043;20,000042
0,547758;20,000044;20,000047;20,000046
0,549708;20,000047;20,000051;20,000050
0,551657;20,000051;20,000055;20,000054
0,553606;20,000056;20,000060;20,000059
0,555556;20,000061;20,000065;20,000064
0,557505;20,000066;20,000071;20,000070
0,559454;20,000072;20,000077;20,000076
0,561404;20,000078;20,000083;20,000082
0,563353;20,000084;20,000090;20,000089
0,565302;20,000092;20,000098;20,000097
0,567251;20,000099;20,000106;20,000105
0,569201;20,000108;20,000115;20,000114
0,571150;20,000117;20,000125;20,000123
0,573099;20,000127;20,000135;20,000134
0,575049;20,000138;20,000147;20,000145
0,576998;20,000150;20,000159;20,000157
0,578947;20,000162;20,000172;20,000170
0,580897;20,000175;20,000186;20,000184
0,582846;20,000189;20,000202;20,000199
0,584795;20,000206;20,000218;20,000216
0,586745;20,000222;20,000236;20,000233
0,588694;20,000241;20,000255;20,000252
0,590643;20,000260;20,000276;20,000273
0,592593;20,000282;20,000298;20,000295
0,594542;20,000304;20,000322;20,000319
0,596491;20,000329;20,000348;20,000344
0,598441;20,000354;20,000376;20,000372
0,600390;20,000384;20,000405;20,000401
0,602339;20,000413;20,000438;20,000433
0,604288;20,000447;20,000472;20,000467
0,606238;20,000481;20,000509;20,000504
0,608187;20,000520;20,000549;20,000544
0,610136;20,000560;20,000591;20,000586
0,612086;20,000605;20,000637;20,000631
0,614035;20,000650;20,000686;20,000680
0,615984;20,000702;20,000739;20,000733
0,617934;20,000754;20,000796;20,000789
0,619883;20,000814;20,000856;20,000849
0,621832;20,000874;20,000921;20,000914
0,623782;20,000943;20,000991;20,000983
0,625731;20,001012;20,001065;20,001057
0,627680;20,001091;20,001145;20,001136
0,629630;20,001170;20,001231;20,001221
0,631579;20,001260;20,001322;20,001312
0,633528;20,001351;20,001420;20,001409
0,635478;20,001454;20,001524;20,001513
0,637427;20,001558;20,001636;20,001624
0,639376;20,001676;20,001755;20,001743
0,641326;20,001794;20,001883;20,001870
0,643275;20,001929;20,002019;20,002005
0,645224;20,002064;20,002165;20,002150
0,647173;20,002218;20,002320;20,002305
0,649123;20,002372;20,002486;20,002469
0,651072;20,002548;20,002662;20,002645
0,653021;20,002723;20,002851;20,002833
0,654971;20,002922;20,003051;20,003033
0,656920;20,003122;20,003265;20,003246
0,658869;20,003348;20,003493;20,003473
0,660819;20,003574;20,003736;20,003715
0,662768;20,003831;20,003995;20,003972
0,664717;20,004088;20,004270;20,004246
0,666667;20,004379;20,004563;20,004538
0,668616;20,004670;20,004874;20,004848
0,670565;20,004999;20,005205;20,005178
0,672515;20,005328;20,005557;20,005529
0,674464;20,005700;20,005931;20,005901
0,676413;20,006072;20,006328;20,006297
0,678363;20,006491;20,006750;20,006718
0,680312;20,006911;20,007198;20,007165
0,682261;20,007384;20,007674;20,007639
0,684211;20,007857;20,008179;20,008142
0,686160;20,008390;20,008714;20,008675
0,688109;20,008923;20,009281;20,009241
0,690058;20,009521;20,009883;20,009841
