X;Implicit
0,000000;0,010212
0,083333;0,011063
0,166667;0,011775
0,250000;0,012338
0,333333;0,012745
0,416667;0,012991
0,500000;0,013074
0,583333;0,012991
0,666667;0,012745
0,750000;0,012338
0,833333;0,011775
0,916667;0,011063
1,000000;0,010212
