X;Implicit;CrankNicolson
0,000000;4,998536;4,997073
0,083333;4,581870;4,580407
0,166667;4,165235;4,163804
0,250000;3,748629;3,747258
0,333333;3,332049;3,330765
0,416667;2,915492;2,914318
0,500000;2,498956;2,497912
0,583333;2,082437;2,081540
0,666667;1,665932;1,665198
0,750000;1,249439;1,248878
0,833333;0,832954;0,832576
0,916667;0,416476;0,416285
1,000000;0,000000;0,000000
