X;Explicit;Implicit
0,000000;26,999032;27,033164
0,000976;26,919598;26,953719
0,001951;26,840960;26,874841
0,002927;26,762888;26,796530
0,003902;26,685383;26,718785
0,004878;26,608446;26,641608
0,005854;26,532075;26,564997
0,006829;26,456272;26,488954
0,007805;26,381036;26,413478
0,008780;26,306366;26,338568
0,009756;26,232264;26,264226
0,010732;26,158728;26,190450
0,011707;26,085758;26,117240
0,012683;26,013355;26,044597
0,013659;25,941517;25,972519
0,014634;25,870244;25,901006
0,015610;25,799536;25,830059
0,016585;25,729392;25,759675
0,017561;25,659812;25,689856
0,018537;25,590795;25,620600
0,019512;25,522340;25,551907
0,020488;25,454448;25,483775
0,021463;25,387116;25,416205
0,022439;25,320344;25,349195
0,023415;25,254132;25,282745
0,024390;25,188478;25,216853
0,025366;25,123381;25,151520
0,026341;25,058841;25,086743
0,027317;24,994856;25,022522
0,028293;24,931426;24,958856
0,029268;24,868549;24,895743
0,030244;24,806224;24,833183
0,031220;24,744450;24,771174
0,032195;24,683225;24,709715
0,033171;24,622549;24,648805
0,034146;24,562419;24,588443
0,035122;24,502835;24,528626
0,036098;24,443795;24,469354
0,037073;24,385298;24,410625
0,038049;24,327341;24,352438
0,039024;24,269924;24,294791
0,040000;24,213045;24,237682
0,040976;24,156702;24,181110
0,041951;24,100894;24,125074
0,042927;24,045618;24,069571
0,043902;23,990873;24,014599
0,044878;23,936657;23,960157
0,045854;23,882969;23,906244
0,046829;23,829806;23,852856
0,047805;23,777166;23,799993
0,048780;23,725048;23,747652
0,049756;23,673450;23,695831
0,050732;23,622368;23,644529
0,051707;23,571803;23,593743
0,052683;23,521750;23,543470
0,053659;23,472208;23,493710
0,054634;23,423176;23,444460
0,055610;23,374649;23,395717
0,056585;23,326628;23,347479
0,057561;23,279108;23,299745
0,058537;23,232088;23,252511
0,059512;23,185566;23,205776
0,060488;23,139539;23,159536
0,061463;23,094004;23,113791
0,062439;23,048959;23,068536
0,063415;23,004403;23,023770
0,064390;22,960331;22,979491
0,065366;22,916742;22,935695
0,066341;22,873633;22,892380
0,067317;22,831002;22,849544
0,068293;22,788845;22,807184
0,069268;22,747161;22,765297
0,070244;22,705946;22,723881
0,071220;22,665198;22,682933
0,072195;22,624915;22,642450
0,073171;22,585092;22,602430
0,074146;22,545729;22,562870
0,075122;22,506821;22,523766
0,076098;22,468366;22,485117
0,077073;22,430362;22,446919
0,078049;22,392805;22,409170
0,079024;22,355692;22,371867
0,080000;22,319021;22,335006
0,080976;22,282789;22,298585
0,081951;22,246993;22,262602
0,082927;22,211629;22,227052
0,083902;22,176695;22,191934
0,084878;22,142189;22,157244
0,085854;22,108106;22,122978
0,086829;22,074444;22,089135
0,087805;22,041200;22,055712
0,088780;22,008371;22,022704
0,089756;21,975953;21,990110
0,090732;21,943944;21,957925
0,091707;21,912341;21,926148
0,092683;21,881141;21,894774
0,093659;21,850340;21,863801
0,094634;21,819936;21,833226
0,095610;21,789924;21,803045
0,096585;21,760303;21,773256
0,097561;21,731069;21,743856
0,098537;21,702219;21,714840
0,099512;21,673750;21,686207
0,100488;21,645658;21,657952
0,101463;21,617940;21,630073
0,102439;21,590594;21,602567
0,103415;21,563616;21,575431
0,104390;21,537003;21,548660
0,105366;21,510752;21,522253
0,106341;21,484859;21,496205
0,107317;21,459322;21,470515
0,108293;21,434137;21,445178
0,109268;21,409301;21,420191
0,110244;21,384811;21,395552
0,111220;21,360663;21,371256
0,112195;21,336855;21,347302
0,113171;21,313383;21,323685
0,114146;21,290245;21,300403
0,115122;21,267436;21,277452
0,116098;21,244955;21,254829
0,117073;21,222796;21,232531
0,118049;21,200959;21,210555
0,119024;21,179438;21,188897
0,120000;21,158232;21,167555
0,120976;21,137337;21,146525
0,121951;21,116749;21,125805
0,122927;21,096466;21,105390
0,123902;21,076485;21,085278
0,124878;21,056802;21,065467
0,125854;21,037415;21,045951
0,126829;21,018319;21,026729
0,127805;20,999513;21,007798
0,128780;20,980993;20,989154
0,129756;20,962755;20,970794
0,130732;20,944798;20,952715
0,131707;20,927117;20,934915
0,132683;20,909710;20,917389
0,133659;20,892573;20,900135
0,134634;20,875705;20,883150
0,135610;20,859100;20,866431
0,136585;20,842758;20,849975
0,137561;20,826673;20,833779
0,138537;20,810845;20,817839
0,139512;20,795269;20,802154
0,140488;20,779943;20,786719
0,141463;20,764863;20,771533
0,142439;20,750027;20,756591
0,143415;20,735433;20,741892
0,144390;20,721076;20,727431
0,145366;20,706954;20,713207
0,146341;20,693064;20,699217
0,147317;20,679404;20,685457
0,148293;20,665970;20,671925
0,149268;20,652760;20,658618
0,150244;20,639771;20,645532
0,151220;20,627000;20,632666
0,152195;20,614444;20,620017
0,153171;20,602101;20,607581
0,154146;20,589968;20,595357
0,155122;20,578042;20,583340
0,156098;20,566320;20,571529
0,157073;20,554800;20,559921
0,158049;20,543479;20,548514
0,159024;20,532354;20,537303
0,160000;20,521423;20,526288
0,160976;20,510684;20,515465
0,161951;20,500133;20,504832
0,162927;20,489768;20,494385
0,163902;20,479586;20,484124
0,164878;20,469585;20,474044
0,165854;20,459763;20,464144
0,166829;20,450117;20,454421
0,167805;20,440644;20,444872
0,168780;20,431342;20,435496
0,169756;20,422209;20,426289
0,170732;20,413242;20,417249
0,171707;20,404438;20,408374
0,172683;20,395796;20,399661
0,173659;20,387314;20,391109
0,174634;20,378987;20,382714
0,175610;20,370816;20,374475
0,176585;20,362796;20,366389
0,177561;20,354927;20,358453
0,178537;20,347205;20,350666
0,179512;20,339628;20,343026
0,180488;20,332195;20,335530
0,181463;20,324902;20,328176
0,182439;20,317749;20,320961
0,183415;20,310732;20,313885
0,184390;20,303850;20,306943
0,185366;20,297101;20,300136
0,186341;20,290482;20,293459
0,187317;20,283991;20,286912
0,188293;20,277627;20,280492
0,189268;20,271387;20,274198
0,190244;20,265270;20,268027
0,191220;20,259273;20,261977
0,192195;20,253394;20,256046
0,193171;20,247633;20,250233
0,194146;20,241985;20,244535
0,195122;20,236451;20,238951
0,196098;20,231028;20,233479
0,197073;20,225713;20,228116
0,198049;20,220506;20,222862
0,199024;20,215405;20,217714
0,200000;20,210407;20,212670
0,200976;20,205512;20,207730
0,201951;20,200716;20,202890
0,202927;20,196019;20,198149
0,203902;20,191419;20,193506
0,204878;20,186914;20,188959
0,205854;20,182503;20,184507
0,206829;20,178184;20,180147
0,207805;20,173955;20,175878
0,208780;20,169815;20,171698
0,209756;20,165762;20,167606
0,210732;20,161794;20,163601
0,211707;20,157911;20,159681
0,212683;20,154111;20,155843
0,213659;20,150391;20,152088
0,214634;20,146751;20,148412
0,215610;20,143190;20,144816
0,216585;20,139705;20,141297
0,217561;20,136296;20,137854
0,218537;20,132960;20,134486
0,219512;20,129698;20,131191
0,220488;20,126506;20,127968
0,221463;20,123385;20,124815
0,222439;20,120332;20,121732
0,223415;20,117347;20,118717
0,224390;20,114428;20,115768
0,225366;20,111574;20,112885
0,226341;20,108783;20,110066
0,227317;20,106055;20,107310
0,228293;20,103388;20,104615
0,229268;20,100781;20,101981
0,230244;20,098233;20,099407
0,231220;20,095743;20,096891
0,232195;20,093309;20,094432
0,233171;20,090931;20,092029
0,234146;20,088608;20,089681
0,235122;20,086337;20,087386
0,236098;20,084119;20,085145
0,237073;20,081952;20,082955
0,238049;20,079836;20,080816
0,239024;20,077768;20,078726
0,240000;20,075749;20,076685
0,240976;20,073777;20,074692
0,241951;20,071852;20,072746
0,242927;20,069971;20,070845
0,243902;20,068136;20,068989
0,244878;20,066343;20,067177
0,245854;20,064593;20,065408
0,246829;20,062885;20,063681
0,247805;20,061218;20,061995
0,248780;20,059591;20,060350
0,249756;20,058003;20,058744
0,250732;20,056453;20,057177
0,251707;20,054941;20,055648
0,252683;20,053465;20,054155
0,253659;20,052026;20,052700
0,254634;20,050621;20,051279
0,255610;20,049251;20,049894
0,256585;20,047915;20,048542
0,257561;20,046612;20,047224
0,258537;20,045340;20,045938
0,259512;20,044101;20,044684
0,260488;20,042892;20,043461
0,261463;20,041714;20,042269
0,262439;20,040564;20,041106
