X;Explicit;Implicit;CrankNicolson
0,000000;0,000000;0,000000;0,000000
0,045455;6,789251;6,789932;6,789576
0,090909;13,440154;13,441005;13,440475
0,136364;19,816503;19,817304;19,816929
0,181818;25,789237;25,788712;25,788905
0,227273;31,235507;31,233624;31,234797
0,272727;36,046107;36,041424;36,043908
0,318182;40,121514;40,114698;40,118670
0,363636;43,381140;43,371134;43,376574
0,409091;45,756694;45,745090;45,751768
0,454545;47,202523;47,188809;47,196313
0,500000;47,686871;47,673290;47,681085
0,545455;47,202523;47,188809;47,196313
0,590909;45,756694;45,745090;45,751768
0,636364;43,381140;43,371134;43,376574
0,681818;40,121514;40,114698;40,118670
0,727273;36,046107;36,041424;36,043908
0,772727;31,235507;31,233624;31,234797
0,818182;25,789237;25,788712;25,788905
0,863636;19,816503;19,817304;19,816929
0,909091;13,440154;13,441005;13,440475
0,954545;6,789251;6,789932;6,789576
1,000000;0,000000;0,000000;0,000000
