X;Temperature_Explicit;Temperature_Implicit
0,411306;37,032273;37,032273
0,413255;36,950617;36,950617
0,415205;36,869196;36,869196
0,417154;36,788007;36,788007
0,419103;36,707051;36,707051
0,421053;36,626327;36,626327
0,423002;36,545834;36,545834
0,424951;36,465573;36,465573
0,426901;36,385542;36,385542
0,428850;36,305741;36,305741
0,430799;36,226170;36,226170
0,432749;36,146828;36,146828
0,434698;36,067714;36,067714
0,436647;35,988828;35,988828
0,438596;35,910170;35,910170
0,440546;35,831739;35,831739
0,442495;35,753535;35,753535
0,444444;35,675556;35,675556
0,446394;35,597803;35,597803
0,448343;35,520275;35,520275
0,450292;35,442972;35,442972
0,452242;35,365892;35,365892
0,454191;35,289035;35,289035
0,456140;35,212402;35,212402
0,458090;35,135990;35,135990
0,460039;35,059801;35,059801
0,461988;34,983832;34,983832
0,463938;34,908084;34,908084
0,465887;34,832557;34,832557
0,467836;34,757249;34,757249
0,469786;34,682159;34,682159
0,471735;34,607289;34,607289
0,473684;34,532636;34,532636
0,475634;34,458200;34,458200
0,477583;34,383981;34,383981
0,479532;34,309979;34,309979
0,481481;34,236191;34,236191
0,483431;34,162619;34,162619
0,485380;34,089262;34,089262
0,487329;34,016118;34,016118
0,489279;33,943187;33,943187
0,491228;33,870469;33,870469
0,493177;33,797964;33,797964
0,495127;33,725669;33,725669
0,497076;33,653586;33,653586
0,499025;33,581713;33,581713
0,500975;33,510050;33,510050
0,502924;33,438596;33,438596
0,504873;33,367350;33,367350
0,506823;33,296312;33,296312
0,508772;33,225482;33,225482
0,510721;33,154858;33,154858
0,512671;33,084441;33,084441
0,514620;33,014229;33,014229
0,516569;32,944222;32,944222
0,518519;32,874419;32,874419
0,520468;32,804819;32,804819
0,522417;32,735423;32,735423
0,524366;32,666229;32,666229
0,526316;32,597237;32,597237
0,528265;32,528445;32,528445
0,530214;32,459855;32,459855
0,532164;32,391464;32,391464
0,534113;32,323272;32,323272
0,536062;32,255279;32,255279
0,538012;32,187484;32,187484
0,539961;32,119886;32,119886
0,541910;32,052484;32,052484
0,543860;31,985279;31,985279
0,545809;31,918269;31,918269
0,547758;31,851453;31,851453
0,549708;31,784832;31,784832
0,551657;31,718404;31,718404
0,553606;31,652168;31,652168
0,555556;31,586125;31,586125
0,557505;31,520273;31,520273
0,559454;31,454611;31,454611
0,561404;31,389140;31,389140
0,563353;31,323857;31,323857
0,565302;31,258764;31,258764
0,567251;31,193858;31,193858
0,569201;31,129140;31,129140
0,571150;31,064608;31,064608
0,573099;31,000263;31,000263
0,575049;30,936102;30,936102
0,576998;30,872126;30,872126
0,578947;30,808334;30,808334
0,580897;30,744725;30,744725
0,582846;30,681299;30,681299
0,584795;30,618054;30,618054
0,586745;30,554990;30,554990
