X;Explicit;Implicit;CrankNicolson
0,000000;100,000000;100,000000;100,000000
0,090909;100,000000;100,000000;100,000000
0,181818;100,000000;100,000000;100,000000
0,272727;100,000000;100,000000;100,000000
0,363636;100,000000;100,000000;100,000000
0,454545;100,000000;100,000000;100,000000
0,545455;100,000000;100,000000;100,000000
0,636364;100,000000;100,000000;100,000000
0,727273;100,000000;100,000000;100,000000
0,818182;100,000000;100,000000;100,000000
0,909091;100,000000;100,000000;100,000000
1,000000;100,000000;100,000000;100,000000
