X;Implicit;CrankNicolson
0,000000;100,000000;100,000000
0,041667;92,025502;91,895276
0,083333;84,082957;83,854367
0,125000;76,169608;75,871691
0,166667;68,282706;67,941704
0,208333;60,419514;60,058898
0,250000;52,577301;52,217800
0,291667;44,753344;44,412965
0,333333;36,944926;36,638971
0,375000;29,149336;28,890422
0,416667;21,363867;21,161935
0,458333;13,585817;13,448144
0,500000;9,310484;9,210695
0,545455;8,462852;8,370939
0,590909;7,615571;7,531875
0,636364;6,768604;6,693433
0,681818;5,921917;5,855544
0,727273;5,075474;5,018139
0,772727;4,229241;4,181149
0,818182;3,383183;3,344505
0,863636;2,537265;2,508137
0,909091;1,691452;1,671976
0,954545;0,845708;0,835953
1,000000;0,000000;0,000000
