X;Implicit
0,000000;13,711049
0,083333;14,853636
0,166667;15,808809
0,250000;16,564517
0,333333;17,111224
0,416667;17,442031
0,500000;17,552766
0,583333;17,442031
0,666667;17,111224
0,750000;16,564517
0,833333;15,808809
0,916667;14,853636
1,000000;13,711049
