X;Temperature_Explicit;Temperature_Implicit
0,000000;29,044373;29,044373
0,001949;28,877758;28,877758
0,003899;28,713085;28,713085
0,005848;28,550357;28,550357
0,007797;28,389569;28,389569
0,009747;28,230723;28,230723
0,011696;28,073816;28,073816
0,013645;27,918849;27,918849
0,015595;27,765820;27,765820
0,017544;27,614727;27,614727
0,019493;27,465570;27,465570
0,021442;27,318345;27,318345
0,023392;27,173050;27,173050
0,025341;27,029682;27,029682
0,027290;26,888237;26,888237
0,029240;26,748711;26,748711
0,031189;26,611098;26,611098
0,033138;26,475395;26,475395
0,035088;26,341595;26,341595
0,037037;26,209694;26,209694
0,038986;26,079683;26,079683
0,040936;25,951557;25,951557
0,042885;25,825309;25,825309
0,044834;25,700930;25,700930
0,046784;25,578413;25,578413
0,048733;25,457749;25,457749
0,050682;25,338930;25,338930
0,052632;25,221946;25,221946
0,054581;25,106788;25,106788
0,056530;24,993445;24,993445
0,058480;24,881908;24,881908
0,060429;24,772166;24,772166
0,062378;24,664207;24,664207
0,064327;24,558021;24,558021
0,066277;24,453595;24,453595
0,068226;24,350917;24,350917
0,070175;24,249975;24,249975
0,072125;24,150757;24,150757
0,074074;24,053249;24,053249
0,076023;23,957438;23,957438
0,077973;23,863310;23,863310
0,079922;23,770852;23,770852
0,081871;23,680049;23,680049
0,083821;23,590887;23,590887
0,085770;23,503351;23,503351
0,087719;23,417427;23,417427
0,089669;23,333098;23,333098
0,091618;23,250351;23,250351
0,093567;23,169169;23,169169
0,095517;23,089536;23,089536
0,097466;23,011437;23,011437
0,099415;22,934855;22,934855
0,101365;22,859774;22,859774
0,103314;22,786177;22,786177
0,105263;22,714048;22,714048
0,107212;22,643370;22,643370
0,109162;22,574126;22,574126
0,111111;22,506299;22,506299
0,113060;22,439872;22,439872
0,115010;22,374827;22,374827
0,116959;22,311147;22,311147
0,118908;22,248815;22,248815
0,120858;22,187812;22,187812
0,122807;22,128122;22,128122
0,124756;22,069726;22,069726
0,126706;22,012607;22,012607
0,128655;21,956747;21,956747
0,130604;21,902128;21,902128
0,132554;21,848732;21,848732
0,134503;21,796541;21,796541
0,136452;21,745538;21,745538
0,138402;21,695704;21,695704
0,140351;21,647021;21,647021
0,142300;21,599473;21,599473
0,144250;21,553040;21,553040
0,146199;21,507705;21,507705
0,148148;21,463450;21,463450
0,150097;21,420258;21,420258
0,152047;21,378110;21,378110
0,153996;21,336989;21,336989
0,155945;21,296878;21,296878
0,157895;21,257758;21,257758
0,159844;21,219613;21,219613
0,161793;21,182426;21,182426
0,163743;21,146178;21,146178
0,165692;21,110853;21,110853
0,167641;21,076434;21,076434
0,169591;21,042903;21,042903
0,171540;21,010245;21,010245
0,173489;20,978442;20,978442
0,175439;20,947478;20,947478
0,177388;20,917337;20,917337
0,179337;20,888001;20,888001
0,181287;20,859455;20,859455
0,183236;20,831684;20,831684
0,185185;20,804670;20,804670
0,187135;20,778399;20,778399
0,189084;20,752855;20,752855
0,191033;20,728022;20,728022
0,192982;20,703886;20,703886
0,194932;20,680431;20,680431
0,196881;20,657642;20,657642
0,198830;20,635505;20,635505
0,200780;20,614006;20,614006
0,202729;20,593129;20,593129
0,204678;20,572862;20,572862
0,206628;20,553189;20,553189
0,208577;20,534097;20,534097
0,210526;20,515573;20,515573
0,212476;20,497603;20,497603
0,214425;20,480173;20,480173
0,216374;20,463272;20,463272
0,218324;20,446886;20,446886
0,220273;20,431003;20,431003
0,222222;20,415609;20,415609
0,224172;20,400694;20,400694
0,226121;20,386244;20,386244
0,228070;20,372249;20,372249
0,230019;20,358696;20,358696
0,231969;20,345574;20,345574
0,233918;20,332872;20,332872
0,235867;20,320579;20,320579
0,237817;20,308684;20,308684
0,239766;20,297176;20,297176
0,241715;20,286045;20,286045
0,243665;20,275281;20,275281
0,245614;20,264874;20,264874
0,247563;20,254814;20,254814
0,249513;20,245091;20,245091
0,251462;20,235696;20,235696
0,253411;20,226619;20,226619
0,255361;20,217852;20,217852
0,257310;20,209386;20,209386
0,259259;20,201211;20,201211
0,261209;20,193320;20,193320
0,263158;20,185705;20,185705
0,265107;20,178356;20,178356
0,267057;20,171266;20,171266
0,269006;20,164428;20,164428
0,270955;20,157833;20,157833
0,272904;20,151475;20,151475
0,274854;20,145346;20,145346
0,276803;20,139439;20,139439
0,278752;20,133747;20,133747
0,280702;20,128263;20,128263
0,282651;20,122981;20,122981
0,284600;20,117895;20,117895
0,286550;20,112998;20,112998
0,288499;20,108284;20,108284
0,290448;20,103747;20,103747
0,292398;20,099381;20,099381
0,294347;20,095182;20,095182
0,296296;20,091142;20,091142
0,298246;20,087258;20,087258
0,300195;20,083523;20,083523
0,302144;20,079933;20,079933
0,304094;20,076483;20,076483
0,306043;20,073167;20,073167
0,307992;20,069983;20,069983
0,309942;20,066924;20,066924
0,311891;20,063986;20,063986
0,313840;20,061166;20,061166
0,315789;20,058459;20,058459
0,317739;20,055862;20,055862
0,319688;20,053369;20,053369
0,321637;20,050978;20,050978
0,323587;20,048685;20,048685
0,325536;20,046486;20,046486
0,327485;20,044378;20,044378
0,329435;20,042357;20,042357
0,331384;20,040420;20,040420
0,333333;20,038565;20,038565
0,335283;20,036788;20,036788
0,337232;20,035086;20,035086
0,339181;20,033456;20,033456
0,341131;20,031895;20,031895
0,343080;20,030402;20,030402
0,345029;20,028973;20,028973
0,346979;20,027606;20,027606
0,348928;20,026298;20,026298
0,350877;20,025047;20,025047
0,352827;20,023851;20,023851
0,354776;20,022708;20,022708
0,356725;20,021615;20,021615
0,358674;20,020571;20,020571
0,360624;20,019574;20,019574
0,362573;20,018621;20,018621
0,364522;20,017712;20,017712
0,366472;20,016843;20,016843
0,368421;20,016014;20,016014
0,370370;20,015222;20,015222
0,372320;20,014467;20,014467
0,374269;20,013747;20,013747
0,376218;20,013060;20,013060
0,378168;20,012405;20,012405
0,380117;20,011780;20,011780
0,382066;20,011185;20,011185
0,384016;20,010618;20,010618
0,385965;20,010077;20,010077
0,387914;20,009562;20,009562
0,389864;20,009072;20,009072
0,391813;20,008605;20,008605
0,393762;20,008161;20,008161
0,395712;20,007738;20,007738
0,397661;20,007335;20,007335
0,399610;20,006952;20,006952
0,401559;20,006588;20,006588
0,403509;20,006241;20,006241
0,405458;20,005912;20,005912
0,407407;20,005599;20,005599
0,409357;20,005301;20,005301
0,411306;20,005018;20,005018
0,413255;20,004750;20,004750
0,415205;20,004494;20,004494
0,417154;20,004252;20,004252
0,419103;20,004022;20,004022
0,421053;20,003804;20,003804
0,423002;20,003597;20,003597
0,424951;20,003400;20,003400
